time_stamp,write_io,read_io
1247,0,4198400
1248,86016,3932160
1249,131072,1835008
1250,172032,3276800
1251,487424,2883584
1252,0,1835008
1253,0,3801088
1254,0,3276800
1255,0,3276800
1256,0,4063232
1257,0,1966080
1258,0,4849664
1259,0,2904064
1260,0,2097152
1261,0,4194304
1262,0,3670016
1263,0,786432
1264,0,6029312
1265,0,0
1266,0,6971392
1267,0,2097152
1268,0,2752512
1269,0,3670016
1270,0,2097152
1271,0,5636096
1272,0,2097152
1273,0,4337664
1274,0,921600
1275,0,3801088
1276,0,1441792
1277,0,6705152
1278,0,0
1279,0,4849664
1280,0,2265088
1281,0,4722688
1282,0,2097152
1283,0,3018752
1284,0,2101248
1285,0,5013504
1286,0,3289088
1287,0,2752512
1288,0,671744
1289,0,4194304
1290,0,1441792
1291,0,4468736
1292,0,2490368
1293,0,4337664
1294,0,917504
1295,0,3850240
1296,0,1982464
1297,8192,6971392
1298,0,0
1299,0,4362240
1300,0,1449984
1301,0,3821568
1302,0,2105344
1303,0,5652480
1304,0,2674688
1305,0,3047424
1306,0,3284992
1307,0,2240512
1308,0,2764800
1309,0,4587520
1310,0,2752512
1311,0,5640192
1312,0,1310720
1313,0,3276800
1314,0,2490368
1315,0,3936256
1316,0,4194304
1317,0,2912256
1318,0,3932160
1319,0,3547136
1320,0,3559424
1321,0,1974272
1322,0,3686400
1323,0,1196032
1324,0,5390336
1325,0,1183744
1326,0,3801088
1327,0,1966080
1328,0,3571712
1329,0,2363392
1330,0,3932160
1331,0,4874240
1332,0,3801088
1333,0,917504
1334,0,3788800
1335,0,3276800
1336,0,2359296
1337,0,5505024
1338,0,2097152
1339,0,1179648
1340,0,2883584
1341,0,3436544
1342,0,3538944
1343,0,3846144
1344,8192,131072
1345,0,5111808
1346,0,4325376
1347,0,655360
1348,0,4464640
1349,0,2097152
1350,0,3686400
1351,0,3538944
1352,0,2506752
1353,0,2097152
1354,0,4997120
1355,0,655360
1356,0,4194304
1357,0,2633728
1358,0,2514944
1359,0,4202496
1360,0,2629632
1361,0,3022848
