time_stamp,write_io,read_io
1079,253952,4325376
1080,0,9945088
1081,0,7294976
1082,0,8974336
1083,8192,2523136
1084,0,2097152
1085,499712,1441792
1086,8192,5242880
1087,0,3932160
1088,0,4194304
1089,0,2097152
1090,0,6029312
1091,0,1572864
1092,0,4501504
1093,0,3276800
1094,0,3801088
1095,0,1703936
1096,0,3276800
1097,0,2752512
1098,4096,4198400
1099,0,1441792
1100,8192,5488640
1101,0,3145728
1102,0,2752512
1103,0,4993024
1104,0,2097152
1105,0,4210688
1106,0,2760704
1107,0,4063232
1108,0,2244608
1109,0,6160384
1110,0,3031040
1111,8192,4456448
1112,0,2359296
1113,0,4194304
1114,0,4329472
1115,0,4194304
1116,0,1703936
1117,0,4849664
1118,0,4210688
1119,0,2228224
1120,0,5144576
1121,0,2621440
1122,0,3801088
1123,0,3276800
1124,0,3158016
1125,0,4595712
1126,0,561152
1127,0,5509120
1128,8192,3014656
1129,0,4329472
1130,0,1179648
1131,0,3538944
1132,0,4849664
1133,0,4325376
1134,0,4980736
1135,0,2883584
1136,0,4718592
1137,0,655360
1138,0,5509120
1139,0,4456448
1140,0,2441216
1141,0,4980736
1142,0,917504
1143,0,4718592
1144,0,3407872
1145,0,4325376
1146,0,4722688
1147,0,3014656
1148,0,3014656
1149,0,3014656
1150,0,3932160
1151,0,5373952
1152,4096,942080
1153,0,6291456
1154,0,4325376
1155,0,3276800
1156,0,3145728
1157,0,4222976
1158,0,3014656
1159,0,4194304
1160,0,2752512
1161,0,6160384
1162,0,4063232
1163,0,2752512
1164,0,3555328
1165,0,2883584
1166,0,3801088
1167,0,3801088
1168,0,5111808
1169,0,2228224
1170,0,3932160
1171,0,4325376
1172,0,2658304
1173,0,4980736
1174,16384,6422528
1175,0,393216
1176,0,4759552
1177,0,4849664
1178,0,1179648
1179,4096,4595712
1180,0,4059136
1181,0,3276800
1182,0,1835008
1183,0,3538944
1184,0,2097152
1185,0,5505024
1186,0,3801088
1187,0,3280896
1188,0,4194304
1189,0,3145728
